ID	CAS_No	Chemical_Name	Chemical_Name_Cirpy	TSCA_Name	VT_KR_NZ_Name	Chemical_Name_Scifinder	Chemical_Name_SMILECAS	Chemical_Name_Reaxys	Chemical_Name_OECD_QSAR	Chemical_Name_Final	Chemical_Name_Final_Source	UVCB_TSCA	UVCB_SciFinder	UVCB_Final	UVCB_Final_Source	UVCB&Polymers	Metals	Organometallics	Polymers	Processes	Mixtures	Biological	InChIKey_Dashboard_all	InChIKey_Cirpy	InChIKey_Dashboard	InChIKey_Reaxys	InChIKey_SMILES	InChIKey_Scifinder	InChIKey_Comparison	InChIKey_Final	InChIKey_Final_Source	InChI_Dashboard	InChI_Scifinder	InChI_Cirpy	InChI_Final	InChI_Final_Source	SMILES_OECD_QSAR	SMILES_Cirpy	SMILES_Pubchem	SMILES_ClassyFire	SMILES_Final	SMILES_Final_Source	Alternate_CAS_No	Deleted_CAS_No	Classyfired	Pigments	Trade_Name	ClassyFired_new	Fluoro	Bromo	Chloro	Iodo
149363	66455-17-2	Alcohols, C9-11		Alcohols, C9-11	Alcohols, (C=9-11)	Alcohols, C9-11	Alcohols, C9-11		Alcohols, C9-11	Alcohols, C9-11	SciFinder	0	1	1	US TSCA	0	0	0	0	0	1	0		MWKFXSUHUHTGQN-UHFFFAOYSA-N			ZWRUINPWMLAQRD-UHFFFAOYSA-N	InChIKey=MWKFXSUHUHTGQN-UHFFFAOYSA-N		MWKFXSUHUHTGQN-UHFFFAOYSA-N	Cirpy			InChI=1S/C10H22O/c1-2-3-4-5-6-7-8-9-10-11/h11H,2-10H2,1H3	InChI=1S/C10H22O/c1-2-3-4-5-6-7-8-9-10-11/h11H,2-10H2,1H3	Cirpy	CCCCCCCCCO			CCCCCCCCCCO	CCCCCCCCCO	QSAR	0	0	1	0	0	1	0	0	0	0
64545	196965-91-0			2,6,7-Trioxabicyclo[2.2.2]octane, 4-ethyl-, 1-C5-9-alkyl derivs.					2,6,7-Trioxabicyclo[2.2.2]octane, 4-ethyl-, 1-C5-9-alkyl derivs.	2,6,7-Trioxabicyclo[2.2.2]octane, 4-ethyl-, 1-C5-9-alkyl derivs.	US TSCA	0	0	1	US TSCA	0	0	0	0	1	1	0																					0	0	0	0	0	0	0	0	0	0
162612	68604-38-6	Fatty acids, C16-18 and C18-unsatd., hexaesters with dipentaerythritol		Fatty acids, C16-18 and C18-unsatd., hexaesters with dipentaerythritol	Fatty acids, (C=16-18) and (C=18)-unsatd., hexaesters with dipentaerythritol				Fatty acids, C16-18 and C18-unsatd., hexaesters with dipentaerythritol	Fatty acids, C16-18 and C18-unsatd., hexaesters with dipentaerythritol	US TSCA	0	0	1	US TSCA	0	0	0	0	0	1	0																					0	0	0	0	0	0	0	0	0	0
39772	1415316-96-9					Fatty acids, sunflower-oil, conjugated, maleated, reation products with diethanolamine, maleated tall-oil fatty acids and triethanolamine				Fatty acids, sunflower-oil, conjugated, maleated, reation products with diethanolamine, maleated tall-oil fatty acids and triethanolamine	SciFinder	0	1	1	SciFinder	0	0	0	0	1	1	1																					0	0	0	0	0	0	0	0	0	0
214398	91079-24-2				Oils, vegetable, sulfated, ammonium salts					Oils, vegetable, sulfated, ammonium salts	VT_KR_NZ	0	0	1	From Name	0	0	0	0	1	1	0																					0	0	0	0	0	0	0	0	0	0
214278	91053-33-7					Juniper, Juniperus mexicana, ext., isomerized, acetylated			Juniper, Juniperus mexicana, ext., isomerized, acetylated;Juniper, juniperus mexicana, extract, isomerized, acetylated	Juniper, Juniperus mexicana, ext., isomerized, acetylated	SciFinder	0	1	1	SciFinder	0	0	0	0	1	0	1																					0	0	0	0	0	0	0	0	0	0
2619	101631-14-5				Distillates (petroleum), heavy steam-cracked				Distillates(petroleum),heavysteamcracked	Distillates (petroleum), heavy steam-cracked	VT_KR_NZ	0	0	1	From Name	0	0	0	0	1	1	0																					0	0	0	0	0	0	0	0	0	0
160968	68515-47-9	C13-Rich di-C11-14-branched alkyl phthalates		1,2-Benzenedicarboxylic acid, di-C11-14-branched alkyl esters, C13-rich	1,2-Benzenedicarboxylic acid di(C=11-14)-branched alkyl esters, (C=13)-rich		1,2-Benzenedicarboxylic acid, di-C11-14-branched alkyl esters, C13-rich		1,2-Benzenedicarboxylic acid, di-C11-14-branched alkyl esters, C13-rich	1,2-Benzenedicarboxylic acid, di-C11-14-branched alkyl esters, C13-rich	US TSCA	0	0	1	US TSCA	0	0	0	0	0	1	0		BCSGAWBQJHXXSE-UHFFFAOYSA-N			HUDJFYUZVAFMTJ-UHFFFAOYSA-N			BCSGAWBQJHXXSE-UHFFFAOYSA-N	Cirpy			InChI=1S/C34H58O4/c1-29(2)23-17-13-9-5-7-11-15-21-27-37-33(35)31-25-19-20-26-32(31)34(36)38-28-22-16-12-8-6-10-14-18-24-30(3)4/h19-20,25-26,29-30H,5-18,21-24,27-28H2,1-4H3	InChI=1S/C34H58O4/c1-29(2)23-17-13-9-5-7-11-15-21-27-37-33(35)31-25-19-20-26-32(31)34(36)38-28-22-16-12-8-6-10-14-18-24-30(3)4/h19-20,25-26,29-30H,5-18,21-24,27-28H2,1-4H3	Cirpy	CC(C)(C)CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCC(C)(C)C			CC(C)CCCCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCCCCC(C)C	CC(C)(C)CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCC(C)(C)C	QSAR	0	0	1	0	0	1	0	0	0	0
198495	84776-83-0	Resin acids and Rosin acids, esters with trimethylolpropane		Resin acids and Rosin acids, esters with trimethylolpropane	Resin acids and Rosin acids, esters with trimethylolpropane					Resin acids and Rosin acids, esters with trimethylolpropane	US TSCA	0	0	1	US TSCA	0	0	0	1	0	1	0																					0	0	0	0	0	0	0	0	0	0
190054	8002-41-3			Oils, laurel	Oils, laurel		Oils, laurel		Oils, laurel	Oils, laurel	US TSCA	0	0	1	US TSCA	0	0	0	0	0	1	0					CYUUZGXOQDCCGH-UHFFFAOYSA-N			CYUUZGXOQDCCGH-UHFFFAOYSA-N	OECD QSAR						CCCCCCCCCCCCOC(=O)CCCCCCCCCCC	CCCCCCCCCCCCOC(=O)CCCCCCCCCCC		CCCCCCCCCCCCOC(=O)CCCCCCCCCCC	CCCCCCCCCCCCOC(=O)CCCCCCCCCCC	OECD QSAR	0	0	1	0	0	1	0	0	0	0
