ID	CAS_No	Chemical_Name	Chemical_Name_Cirpy	TSCA_Name	VT_KR_NZ_Name	Chemical_Name_Scifinder	Chemical_Name_SMILECAS	Chemical_Name_Reaxys	Chemical_Name_OECD_QSAR	Chemical_Name_Final	Chemical_Name_Final_Source	UVCB_TSCA	UVCB_SciFinder	UVCB_Final	UVCB_Final_Source	UVCB&Polymers	Metals	Organometallics	Polymers	Processes	Mixtures	Biological	InChIKey_Dashboard_all	InChIKey_Cirpy	InChIKey_Dashboard	InChIKey_Reaxys	InChIKey_SMILES	InChIKey_Scifinder	InChIKey_Comparison	InChIKey_Final	InChIKey_Final_Source	InChI_Dashboard	InChI_Scifinder	InChI_Cirpy	InChI_Final	InChI_Final_Source	SMILES_OECD_QSAR	SMILES_Cirpy	SMILES_Pubchem	SMILES_ClassyFire	SMILES_Final	SMILES_Final_Source	Alternate_CAS_No	Deleted_CAS_No	Classyfired	Pigments	Trade_Name	ClassyFired_new	Fluoro	Bromo	Chloro	Iodo	MInChI
221324	93803-76-0								5-oxo-L-proline - 8-benzyl-7-{2-[ethyl(2-hydroxyethyl)amino]ethyl}-1,3-dimethyl-3,7-dihydro-1H-purine-2,6-dione (1:1);5-oxo-L-proline, compound with 8-benzyl-7-[2-[ethyl(2-hydroxyethyl)amino]ethyl]-3,7-dihydro-1,3-dimethyl-1H-purine-2,6-dione (1:1)	5-oxo-L-proline - 8-benzyl-7-{2-[ethyl(2-hydroxyethyl)amino]ethyl}-1,3-dimethyl-3,7-dihydro-1H-purine-2,6-dione (1:1);5-oxo-L-proline, compound with 8-benzyl-7-[2-[ethyl(2-hydroxyethyl)amino]ethyl]-3,7-dihydro-1,3-dimethyl-1H-purine-2,6-dione (1:1)	OECD QSAR	0	0	0		0	0	0	0	0	1	0					RCLMQSPBNUYHNP-UHFFFAOYSA-N			RCLMQSPBNUYHNP-UHFFFAOYSA-N	OECD QSAR						OC(=O)C1CCC(=O)N1.CCN(CCO)CCn1c(Cc2ccccc2)nc2N(C)C(=O)N(C)C(=O)c12			OC(=O)C1CCC(=O)N1.CCN(CCO)CCn1c(Cc2ccccc2)nc2N(C)C(=O)N(C)C(=O)c12	OC(=O)C1CCC(=O)N1.CCN(CCO)CCn1c(Cc2ccccc2)nc2N(C)C(=O)N(C)C(=O)c12	OECD QSAR	0	0	1	0	0	1	0	0	0	0	
66349	20368-76-7			1,3,5,7-Tetraazatricyclo[3.3.1.13,7]decane, compd. with 2-(chloromethyl)oxirane (1:?)					1,3,5,7-tetraazatricyclo[3.3.1.1~3,7~]decane - 2-(chloromethyl)oxirane (1:1);1,3,5,7-Tetraazatricyclo[3.3.1.13,7]decane, compd. with 2-(chloromethyl)oxirane (1:?);Hexamethylenetetramine, compound with 1-chloro-2,3-epoxypropane	1,3,5,7-Tetraazatricyclo[3.3.1.13,7]decane, compd. with 2-(chloromethyl)oxirane (1:?)	US TSCA	0	0	0	US TSCA	0	0	0	0	0	1	0		UCRVARONSIRYNE-UHFFFAOYSA-N			UCRVARONSIRYNE-UHFFFAOYSA-N			UCRVARONSIRYNE-UHFFFAOYSA-N	Cirpy			InChI=1S/C6H12N4.C3H5ClO/c1-7-2-9-4-8(1)5-10(3-7)6-9;4-1-3-2-5-3/h1-6H2;3H,1-2H2	InChI=1S/C6H12N4.C3H5ClO/c1-7-2-9-4-8(1)5-10(3-7)6-9;4-1-3-2-5-3/h1-6H2;3H,1-2H2	Cirpy	ClCC1CO1.C1N2CN3CN1CN(C2)C3			ClCC1CO1.C1N2CN3CN1CN(C2)C3	ClCC1CO1.C1N2CN3CN1CN(C2)C3	QSAR	0	0	1	0	0	1	0	0	1	0	MInChI=0.00.1S/C6H12N4.C3H5ClO/c1-7-2-9-4-8(1)5-10(3-7)6-9;4-1-3-2-5-3/h1-6H2;3H,1-2H2/n1/1:?vp
67003	206009-80-5	Amines, C12-14-tert-alkyl, compds. with .gamma.-.omega.-perfluoro-C6-12-alkyl dihydrogen phosphate (1:1)		Amines, C12-14-tert-alkyl, compds. with .gamma.-.omega.-perfluoro-C6-12-alkyl dihydrogen phosphate (1:1)					Amines, C12-14-tert-alkyl, compds. with .gamma.-.omega.-perfluoro-C6-12-alkyl dihydrogen phosphate (1:1)	Amines, C12-14-tert-alkyl, compds. with .gamma.-.omega.-perfluoro-C6-12-alkyl dihydrogen phosphate (1:1)	US TSCA	0	0	1	US TSCA	0	0	0	0	0	1	0																					0	0	0	0	0	0	1	0	0	0	
217706	92201-17-7				Alcohols, palm kernel-oil					Alcohols, palm kernel-oil	VT_KR_NZ	0	0	1	From Name	0	0	0	0	0	1	0																					0	0	0	0	0	0	0	0	0	0	
49757	160305-85-1				Hexamethylene bis[hydroxyfatty acid(C=5-18) amide]					Hexamethylene bis[hydroxyfatty acid(C=5-18) amide]	VT_KR_NZ	0	0	0		0	0	0	0	0	1	0																					0	0	0	0	0	0	0	0	0	0	
213058	90640-69-0					Amines, N-tallow alkyltrimethylenedi-, compds. with 1-pentyl 5(or 6)-carboxy-4-hexyl-2-cyclohexeneoctanoate				Amines, N-tallow alkyltrimethylenedi-, compds. with 1-pentyl 5(or 6)-carboxy-4-hexyl-2-cyclohexeneoctanoate	SciFinder	0	1	1	SciFinder	0	0	0	0	0	1	0																					0	0	0	0	0	0	0	0	0	0	
220270	93572-11-3					Fatty acids, rape-oil, compds. with ethanolamine				Fatty acids, rape-oil, compds. with ethanolamine	SciFinder	0	1	1	SciFinder	0	0	0	0	0	1	0																					0	0	0	0	0	0	0	0	0	0	
233217	97926-13-1					Amides, from diethylenetriamine and vegetable-oil fatty acids				Amides, from diethylenetriamine and vegetable-oil fatty acids	SciFinder	0	1	1	SciFinder	0	0	0	0	0	1	0																					0	0	0	0	0	0	0	0	0	0	
230775	96690-47-0					Slimes and Sludges, titanium oxide manuf. sulfate process, leach soln., neutralized				Slimes and Sludges, titanium oxide manuf. sulfate process, leach soln., neutralized	SciFinder	0	1	1	SciFinder	0	1	0	0	0	1	0																					0	0	0	0	0	0	0	0	0	0	
50119	160610-94-6				Hydroxyalkanoic acid(C=4-20)					Hydroxyalkanoic acid(C=4-20)	VT_KR_NZ	0	0	0		0	0	0	0	0	1	0																					0	0	0	0	0	0	0	0	0	0	
49912	160402-11-9				N-Alkyl(C=18-22)-1,3-propylenediamine					N-Alkyl(C=18-22)-1,3-propylenediamine	VT_KR_NZ	0	0	0		0	0	0	0	0	1	0																					0	0	0	0	0	0	0	0	0	0	
